"","a99","name","a12","a9","FBK","DRG","kills_ADC","deaths_ADC","assists_ADC","kills_SUP","deaths_SUP","assists_SUP","ADC","SUP","KDA_mean","totalDamageDealtToChampions_mean","visionScore_mean","totalDamageTaken_mean","goldEarned_mean","visionWardsBoughtInGame_mean"
"41172",4909225445,"Yone & Thresh",200,TRUE,FALSE,FALSE,12,8,11,3,4,22,"Yone","Thresh",4,22190.5,60.5,26835.5,13303,7.5
"21259",4909225791,"Jhin & Alistar",100,TRUE,FALSE,FALSE,7,1,13,2,4,20,"Jhin","Alistar",8.4,12960,41,14609.5,9484.5,8.5
"31020",4909225791,"Lucian & Galio",200,FALSE,FALSE,TRUE,3,8,5,2,3,7,"Lucian","Galio",1.55,13794,35.5,16498,8465.5,7
"21260",4909242370,"Kai'Sa & Pantheon",100,FALSE,FALSE,FALSE,0,3,3,1,6,3,"Kai'Sa","Pantheon",0.78,6249,23.5,10303,5383.5,2.5
"31021",4909242370,"Jhin & Alistar",200,TRUE,FALSE,TRUE,5,2,5,0,2,19,"Jhin","Alistar",7.25,9314.5,26,11430.5,7568,6.5
"21261",4909243151,"Lucian & Gragas",100,FALSE,FALSE,TRUE,2,10,6,1,8,11,"Lucian","Gragas",1.11,16009,35,25490,8282,7.5
"41173",4909243151,"Miss Fortune & Zac",200,TRUE,FALSE,FALSE,15,6,9,3,5,17,"Miss Fortune","Zac",4,20743,52,24423,12530,4.5
"21262",4909245337,"Lucian & Alistar",100,TRUE,TRUE,FALSE,1,4,12,4,4,15,"Lucian","Alistar",4,12959.5,88,24186,13249,14.5
"41174",4909245337,"Syndra & Thresh",200,FALSE,TRUE,TRUE,5,3,8,4,5,9,"Syndra","Thresh",3.25,18448.5,75.5,16548.5,13259.5,10
"21263",4909273163,"Lucian & Bard",100,FALSE,FALSE,TRUE,2,7,3,1,10,8,"Lucian","Bard",0.82,8164.5,44.5,17816.5,5887,5.5
"41175",4909273163,"Ezreal & Yuumi",200,TRUE,TRUE,FALSE,8,3,7,3,3,17,"Ezreal","Yuumi",5.83,12797.5,33,10767.5,9494,8
"21264",4909278746,"Jhin & Sett",100,FALSE,FALSE,FALSE,3,6,10,7,6,15,"Jhin","Sett",2.92,13106,51.5,17942,9909,9.5
"41176",4909278746,"Samira & Leona",200,TRUE,FALSE,TRUE,12,8,13,3,8,15,"Samira","Leona",2.69,17688,56.5,22307.5,12227.5,8.5
"21265",4909298848,"Aphelios & Bard",100,FALSE,TRUE,FALSE,2,7,9,4,7,10,"Aphelios","Bard",1.79,13430.5,51.5,18836,10187.5,7
"41177",4909298848,"Syndra & Maokai",200,TRUE,TRUE,TRUE,11,1,10,0,7,13,"Syndra","Maokai",4.25,18881,40,17721,11381,6.5
"21266",4909310963,"Yone & Shen",100,FALSE,FALSE,FALSE,1,5,4,1,6,6,"Yone","Shen",1.09,5118,32.5,15694.5,6966,4.5
"41178",4909310963,"Aphelios & Thresh",200,TRUE,FALSE,TRUE,7,4,8,7,1,12,"Aphelios","Thresh",6.8,11742,39.5,9314,10080,8.5
"21267",4909312935,"Miss Fortune & Thresh",100,FALSE,TRUE,FALSE,13,7,6,3,8,14,"Miss Fortune","Thresh",2.4,19582.5,47.5,20832,13100,6
"41179",4909312935,"Aphelios & Lulu",200,TRUE,TRUE,TRUE,13,7,7,2,6,20,"Aphelios","Lulu",3.23,18885,36.5,19698.5,12840,2
"21268",4909340884,"Jhin & Shen",100,FALSE,FALSE,TRUE,3,5,11,3,7,12,"Jhin","Shen",2.42,14575,54.5,20797.5,10851,5
"41180",4909340884,"Miss Fortune & Thresh",200,TRUE,FALSE,FALSE,12,4,8,2,3,17,"Miss Fortune","Thresh",5.57,17142,67.5,15101.5,13743,8.5
"1934",4909350002,"Lucian & Galio",100,FALSE,FALSE,TRUE,2,7,1,1,5,6,"Lucian","Galio",0.83,7120,41.5,16646.5,7821,10.5
"41181",4909350002,"Miss Fortune & Leona",200,TRUE,FALSE,FALSE,10,2,5,1,2,14,"Miss Fortune","Leona",7.5,12538.5,42,14524.5,11729,10
"21269",4909350334,"Miss Fortune & Alistar",100,TRUE,TRUE,TRUE,12,5,10,3,5,15,"Miss Fortune","Alistar",4,18670,48.5,20307,12435,9.5
"31022",4909350334,"Lucian & Gragas",200,FALSE,TRUE,FALSE,5,6,5,2,7,10,"Lucian","Gragas",1.69,15031.5,49.5,20989.5,9786.5,5.5
"1935",4909351743,"Kai'Sa & Sett",100,FALSE,TRUE,FALSE,1,6,1,1,6,3,"Kai'Sa","Sett",0.5,5775.5,31.5,12503.5,6220,6
"41182",4909351743,"Samira & Alistar",200,TRUE,TRUE,TRUE,4,1,15,2,3,13,"Samira","Alistar",8.5,11967,32,12949,8802.5,4
"1936",4909352962,"Ezreal & Sett",100,TRUE,TRUE,TRUE,6,4,12,5,7,7,"Ezreal","Sett",2.73,17464,29.5,17264,11040,1.5
"41183",4909352962,"Vayne & Maokai",200,FALSE,TRUE,FALSE,6,10,8,3,8,17,"Vayne","Maokai",1.89,15068.5,36,22049.5,9870,8.5
"21270",4909364188,"Kai'Sa & Janna",100,TRUE,FALSE,TRUE,7,2,14,1,4,31,"Kai'Sa","Janna",8.83,13372.5,37,14278.5,9473,4.5
"41184",4909364188,"Lucian & Yuumi",200,FALSE,FALSE,FALSE,2,9,1,0,8,4,"Lucian","Yuumi",0.41,10701.5,33,16565,6600,6.5
"21271",4909416473,"Kai'Sa & Leona",100,FALSE,FALSE,FALSE,2,6,2,0,4,5,"Kai'Sa","Leona",0.9,4333,37,14199,7422.5,5.5
"31023",4909416473,"Aphelios & Maokai",200,TRUE,TRUE,TRUE,6,1,9,2,7,12,"Aphelios","Maokai",3.62,14068.5,37,12031,10659,4.5
