"","a99","gameVersion","a11","kills","deaths","assists","totalDamageDealt","visionScore","totalDamageTaken","goldEarned","visionWardsBoughtInGame","a9","lll"
"182",4663095492,"10.19.336.4199",81,6,2,5,108570,12,11837,9934,1,TRUE,"BOT_CARRY"
"183",4663097849,"10.19.336.4199",497,4,8,30,28815,150,27969,11769,15,TRUE,"SUP"
"184",4663097849,"10.19.336.4199",236,18,9,7,292997,45,34418,21871,3,TRUE,"BOT_CARRY"
"185",4663159360,"10.19.336.4199",43,7,7,16,40267,67,14744,10451,9,TRUE,"SUP"
"186",4663159360,"10.19.336.4199",81,7,4,7,183303,10,18945,12929,1,TRUE,"BOT_CARRY"
"187",4663572566,"10.19.336.4199",40,0,1,8,18933,26,3871,5147,3,TRUE,"SUP"
"188",4663572566,"10.19.336.4199",81,4,3,2,88806,10,6267,8194,1,TRUE,"BOT_CARRY"
"189",4663822540,"10.19.336.4199",117,12,4,14,20346,63,13382,11949,6,TRUE,"SUP"
"190",4663822540,"10.19.336.4199",22,6,6,15,138365,22,18821,11987,2,TRUE,"BOT_CARRY"
"191",4664145978,"10.19.336.4199",12,1,4,18,25281,56,18549,8283,6,TRUE,"SUP"
"192",4664145978,"10.19.336.4199",236,7,3,6,198113,25,20399,14426,2,TRUE,"BOT_CARRY"
"193",4664248898,"10.19.336.4199",51,8,0,9,143271,9,12664,11029,2,TRUE,"BOT_CARRY"
"194",4664248898,"10.19.336.4199",117,1,4,20,10789,34,8275,7053,8,TRUE,"SUP"
"195",4664313416,"10.19.336.4199",51,6,6,8,205838,18,18259,13669,1,TRUE,"BOT_CARRY"
"196",4664313416,"10.19.336.4199",432,1,6,16,16615,79,16000,8393,4,TRUE,"SUP"
"197",4664395905,"10.19.336.4199",412,2,4,25,29465,66,14377,9009,8,TRUE,"SUP"
"198",4664522541,"10.19.336.4199",80,4,5,9,35231,67,13339,7954,8,TRUE,"SUP"
"199",4664522541,"10.19.336.4199",360,4,3,8,140986,13,14737,11350,3,TRUE,"BOT_CARRY"
"200",4664527522,"10.19.336.4199",12,3,2,12,15890,59,10965,6944,11,TRUE,"SUP"
"201",4664527522,"10.19.336.4199",523,5,3,8,150034,15,13520,11169,1,TRUE,"BOT_CARRY"
"202",4664540036,"10.19.336.4199",119,16,4,3,181070,37,18914,17291,2,TRUE,"BOT_CARRY"
"203",4664540036,"10.19.336.4199",412,0,6,14,17404,51,13876,6839,8,TRUE,"SUP"
"204",4664897476,"10.19.336.4199",111,1,4,15,22286,68,12986,8120,8,TRUE,"SUP"
"205",4664897476,"10.19.336.4199",202,9,4,14,182925,46,15764,14866,6,TRUE,"BOT_CARRY"
"206",4665097139,"10.19.336.4199",117,2,0,16,35024,105,11815,9027,15,TRUE,"SUP"
"207",4665097139,"10.19.336.4199",777,9,8,9,211101,27,30028,15413,1,TRUE,"BOT_CARRY"
"208",4665308667,"10.19.336.4199",117,7,3,13,32733,57,8898,8705,7,TRUE,"SUP"
"209",4665308667,"10.19.336.4199",22,3,2,11,92228,16,12132,9924,2,TRUE,"BOT_CARRY"
"210",4666408625,"10.19.336.4199",412,0,7,18,18385,27,18191,7059,7,TRUE,"SUP"
"211",4666408625,"10.19.336.4199",523,11,6,11,195882,30,17597,15888,0,TRUE,"BOT_CARRY"
"212",4666413170,"10.19.336.4199",57,2,6,11,35931,54,24248,7271,8,TRUE,"SUP"
"213",4666413170,"10.19.336.4199",145,5,4,12,157901,19,15775,13276,0,TRUE,"BOT_CARRY"
"214",4666479922,"10.19.336.4199",236,17,3,10,282856,46,27806,20089,1,TRUE,"BOT_CARRY"
